127.0.0.1, 2013-07-19 20:53:34, GET, /user/login, HTTP/1.1, 404, 0.000591
127.0.0.1, 2013-07-19 20:53:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000485
127.0.0.1, 2013-07-19 20:56:20, GET, /, HTTP/1.1, 303, 0.001282
127.0.0.1, 2013-07-19 20:56:20, GET, /welcome/default/index, HTTP/1.1, 404, 0.000477
127.0.0.1, 2013-07-19 20:56:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000521
127.0.0.1, 2013-07-19 20:56:34, GET, /AnnotatIt/default/index, HTTP/1.1, 303, 2.103090
127.0.0.1, 2013-07-19 20:56:34, GET, /AnnotatIt/default/login, HTTP/1.1, 404, 0.038609
127.0.0.1, 2013-07-19 20:56:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2013-07-19 20:56:41, GET, /auth/user/login, HTTP/1.1, 404, 0.002333
127.0.0.1, 2013-07-19 20:56:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2013-07-19 20:56:44, GET, /user/login, HTTP/1.1, 404, 0.000634
127.0.0.1, 2013-07-19 20:56:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
127.0.0.1, 2013-07-19 20:59:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000759
127.0.0.1, 2013-07-19 20:59:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/default/user/login, HTTP/1.1, 200, 0.355030
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001370
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/js/jquery.js, HTTP/1.1, 200, 0.001937
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/js/web2py.js, HTTP/1.1, 200, 0.001165
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/js/calendar.js, HTTP/1.1, 200, 0.001195
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/css/web2py.css, HTTP/1.1, 200, 0.008956
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/css/calendar.css, HTTP/1.1, 200, 0.023936
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000613
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000693
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000760
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000682
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/images/annotatit_pencil_200.png, HTTP/1.1, 200, 0.000421
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/js/share.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000920
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/images/twitter.png, HTTP/1.1, 200, 0.001454
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/images/facebook.png, HTTP/1.1, 200, 0.000743
127.0.0.1, 2013-07-19 20:59:19, GET, /AnnotatIt/static/images/gplus-32.png, HTTP/1.1, 200, 0.000674
127.0.0.1, 2013-07-19 20:59:20, GET, /AnnotatIt/static/images/favicon.ico, HTTP/1.1, 200, 0.000419
127.0.0.1, 2013-07-19 21:00:04, GET, /AnnotatIt/default/user/register, HTTP/1.1, 303, 0.109685
127.0.0.1, 2013-07-19 21:00:04, GET, /AnnotatIt/default/user/profile, HTTP/1.1, 200, 0.246212
127.0.0.1, 2013-07-19 21:00:15, GET, /AnnotatIt/default/user/login, HTTP/1.1, 200, 0.162047
127.0.0.1, 2013-07-19 21:00:25, GET, /AnnotatIt/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000801
127.0.0.1, 2013-07-19 21:00:25, GET, /AnnotatIt/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000885
127.0.0.1, 2013-07-19 21:00:28, GET, /AnnotatIt/default/user/logout, HTTP/1.1, 303, 0.202229
127.0.0.1, 2013-07-19 21:00:28, GET, /AnnotatIt/default/index, HTTP/1.1, 200, 0.061326
127.0.0.1, 2013-07-19 21:00:33, GET, /AnnotatIt/default/user/register, HTTP/1.1, 200, 0.166124
127.0.0.1, 2013-07-19 21:03:55, GET, /AnnotatIt/default/user/register, HTTP/1.1, 200, 0.077434
127.0.0.1, 2013-07-19 21:04:06, GET, /AnnotatIt/member/my_media, HTTP/1.1, 303, 0.097717
127.0.0.1, 2013-07-19 21:04:06, GET, /AnnotatIt/default/user/login, HTTP/1.1, 200, 0.057214
127.0.0.1, 2013-07-19 21:04:08, GET, /AnnotatIt/static/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000504
127.0.0.1, 2013-07-19 21:04:09, GET, /AnnotatIt/static/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000932
127.0.0.1, 2013-07-19 21:04:14, POST, /AnnotatIt/default/user/login, HTTP/1.1, 303, 0.234166
127.0.0.1, 2013-07-19 21:04:14, GET, /AnnotatIt/member/my_media, HTTP/1.1, 200, 0.054846
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/ace-fonts.css, HTTP/1.1, 200, 0.007216
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/daterangepicker.css, HTTP/1.1, 200, 0.013230
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/colorpicker.css, HTTP/1.1, 200, 0.008232
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/datepicker.css, HTTP/1.1, 200, 0.010761
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/chosen.css, HTTP/1.1, 200, 0.014370
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/bootstrap-timepicker.css, HTTP/1.1, 200, 0.012254
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/ace.min.css, HTTP/1.1, 200, 0.000655
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/ace-skins.min.css, HTTP/1.1, 200, 0.000413
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/ext_lib/ace-responsive.min.css, HTTP/1.1, 200, 0.000315
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/js/ext_lib/ace-elements.min.js, HTTP/1.1, 200, 0.016525
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/js/ext_lib/ace.min.js, HTTP/1.1, 200, 0.013178
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/member/assets/avatars/user.jpg, HTTP/1.1, 404, 0.037727
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/font/DXI1ORHCpsQm3Vp6mXoaTXhCUOGz7vYGh680lGh-uXM.woff, HTTP/1.1, 200, 0.000810
127.0.0.1, 2013-07-19 21:04:15, GET, /AnnotatIt/static/css/font/cJZKeOuBrn4kERxqtaUH3T8E0i7KZn-EPnyo3HZu7kw.woff, HTTP/1.1, 200, 0.001504
